url,variable
https://www.amazon.co.uk/Fujifilm-X-S10-Mirrorless-Black-XF16-80mmF4/dp/B08KWDNQVW/,fujifilm_xs10
https://www.amazon.co.uk/Blue-Recording-Streaming-Condenser-Adjustable/dp/B00N1YPXW2/,blue_mic
https://www.amazon.co.uk/PlayStation-9395003-5-Console/dp/B08H95Y452/,ps5
